"Allocation date","Share type","Acquisition price","Acquisition price (unit)","Quantity","Cost of shares","Cost of shares (unit)","Estimated value","Estimated value (unit)"
"9 Dec 2019","Partnership shares",1.67856,"£","90",151.07,"£",324.36,"£"
"7 Jan 2020","Partnership shares",1.81878,"£","82",149.14,"£",295.53,"£"
"7 Feb 2020","Partnership shares",1.71874,"£","87",149.53,"£",313.55,"£"
"9 Mar 2020","Partnership shares",1.37409,"£","110",151.15,"£",396.44,"£"
"7 Apr 2020","Partnership shares",0.85080,"£","176",149.74,"£",634.30,"£"
"7 May 2020","Partnership shares",1.02521,"£","146",149.68,"£",526.18,"£"
"8 Jun 2020","Partnership shares",1.24107,"£","121",150.17,"£",436.08,"£"
"7 Jul 2020","Partnership shares",1.15777,"£","130",150.51,"£",468.52,"£"
"7 Aug 2020","Partnership shares",1.04573,"£","143",149.54,"£",515.37,"£"
"7 Apr 2011","Partnership shares",2.64523,"£","566",1497.20,"£",2039.86,"£"
"9 May 2011","Partnership shares",2.58286,"£","49",126.56,"£",176.60,"£"
"7 Jun 2011","Partnership shares",2.47255,"£","51",126.10,"£",183.80,"£"
"7 Jul 2011","Partnership shares",2.38542,"£","524",1249.96,"£",1888.50,"£"
"8 May 2012","Partnership shares",1.99392,"£","393",783.61,"£",1416.37,"£"
